Id,Price
4567,169033.4316314767
5925,123389.08531276256
960,145621.53328820024
3848,109518.96698142836
746,187655.99832715016
868,350582.9233284214
672,118975.5238738324
2471,206796.43074344762
4510,119484.82570998043
8354,261871.46211045657
6393,179273.22307852007
13270,234722.70928726322
5250,254186.7871697999
16751,164833.0999665388
11404,128470.49732108014
10588,325984.7888402948
14925,179520.24663776954
6791,219244.5853263815
16097,187973.9082075737
16428,388897.7671361964
6945,365131.8276688664
3190,189623.16288430867
15709,420939.72314718226
13155,178142.07556637653
7675,201420.16250953617
14686,247441.34741642833
609,153696.72022841414
11155,169978.23815174476
10869,212344.80945808775
15742,179424.58262262508
9245,199653.10152837523
3340,167837.97203790257
2359,287363.9515779829
8070,226132.05853806058
13707,121487.38662136489
16079,272143.8100341236
15937,283491.04622708284
14090,193671.97738570796
9008,227783.2347707131
16384,187693.8280844918
11657,243185.4002292272
13151,148351.25890491167
8990,142395.56952199506
11857,186681.80663281752
1565,161991.9922960988
8174,87136.12403055871
9247,238713.199024692
10478,218287.0649949377
15509,137541.8812754813
8306,209165.31095587884
6642,191937.6491206401
7472,219543.75277964503
15989,135068.0269417869
13682,122077.84899304308
163,266250.8848572306
7076,195043.83224164988
7478,350489.64463147696
3029,188017.86210286437
1814,147480.59635580087
10057,126084.18099158324
15100,180401.82189095346
12694,211071.37643992156
6291,190213.4970032813
12603,173897.13157150336
3218,212088.3152355584
13456,126565.93020687703
10170,217112.51442477657
4530,181167.9229133987
13329,162490.48476555562
4820,147764.14723519768
10896,172980.68950411212
13416,114672.74631830672
2701,202561.1870554042
11265,307475.0814685507
9189,240141.42583943225
1858,191260.585217552
14536,249939.30182283098
6199,290182.27624409186
14730,159096.60542268513
7510,264903.96055607125
15505,166828.44010727791
7446,189451.68943555665
14016,179103.69319808055
14113,109709.88518654087
8721,304454.3119726924
6193,310088.3219720518
5717,168595.8675834568
5427,312313.60148640524
9520,473746.0668422206
6869,96893.26604932809
1658,150923.42349024466
6639,207576.02850075043
6283,197136.20744023178
6257,121391.8234791275
15235,164345.0642573081
902,224179.23533657848
8932,194683.42241541654
16469,274413.2317886089
2825,269161.3313687792
6450,453004.75092818466
11366,175377.0634359104
3801,348240.11444401636
11385,188537.2834467321
1079,201127.77992025262
3202,217223.2246492976
676,222009.96844115926
6185,292246.96740406984
7730,178761.17358534923
2573,192619.34278441596
10978,206548.44695057478
10962,253118.11198787618
8870,182569.5447605641
8496,177546.13625056823
5517,200058.6792887105
927,183680.78700279133
13675,199855.9497303161
1499,223219.13015524793
15536,334626.8060258239
8602,371850.9327042821
12137,469061.56737160723
9865,262134.1503676523
